comment,type,,,,,,,,,,
ざこ確定,1,,,,,,,,,,
お前人のこと言えたプレイしてないぞ?wwww,1,,,,,,,,,,
名前きもい不快だった動画消してほしい,1,,,,,,,,,,
ez8下手すぎ,1,,,,,,,,,,
下手そしてアバがださい,1,,,,,,,,,,
さすがにきもいｗｗ,1,,,,,,,,,,
ほんと下手だな。味方よくがんばってるな。,1,,,,,,,,,,
これでわからない方がバカなの？W,1,,,,,,,,,,
見にくんなクズ,1,,,,,,,,,,
きたない,1,,,,,,,,,,
下手っつうかなんつうか・・・少し声遅れてる感があるな,1,,,,,,,,,,
聞こえないし、うまくないし、つまらん,1,,,,,,,,,,
こえちっせぇんだよざこ,1,,,,,,,,,,
正直女じゃなかったらだれもみねーぞこの内容,1,,,,,,,,,,
アスペだろ,1,,,,,,,,,,
下手ｗｗｗ,1,,,,,,,,,,
長友と仲良いとか関係ねーよカス,1,,,,,,,,,,
当たり前じゃねーだろカスｗ,1,,,,,,,,,,
マジキチ,1,,,,,,,,,,
音うるせえよ,1,,,,,,,,,,
バカが,1,,,,,,,,,,
口悪すぎだろしね,1,,,,,,,,,,
しこってろホモガキ,1,,,,,,,,,,
きもぼ,1,,,,,,,,,,
しこってろハゲ,1,,,,,,,,,,
きもいよーー,1,,,,,,,,,,
はげ,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
,1,,,,,,,,,,
