content,mophologics_num,bad_per_mophologic,simple_bad_flg,target,hiniku_per_mophologic,simple_hiniku_flg,positive_per_mophologic,simple_positive_flg
今すぐ投稿やめて首でも吊って4ねや,12,0,1,1,0,1,0,0
レベルひくいなぁ,3,0,1,1,1,1,0,0
まともなはずのキャラがサイコパス設定デフォになるともう末期なんだなって思うわ,21,1,1,1,1,1,0,0
絵に描いたようなBITCH,7,1,1,1,0,0,0,0
ごみかよ,3,1,1,1,0,0,0,0
編集酷いよなここ最近特に,7,1,1,1,0,0,0,0
接客舐めてんのかこの女、あー舐めてるからこんな仕事してんのか,19,0,1,1,0,0,0,0
隣みたいにタバコ上げたまま打つ猿消えてくんねーかな,15,1,1,1,0,0,0,0
本当にクソみたいな立ち回り,5,1,1,1,0,0,0,0
ｶｽども,2,1,1,1,0,0,0,0
やるおネタばれやめろや死ね,7,2,1,1,0,0,0,0
ひでーな,3,1,1,1,0,0,0,0
なんかすげー気持ち悪い,5,0,1,1,0,0,0,0
何で最近全部このクソ編集なの？,9,1,1,1,0,0,0,0
例の糞やんけ,5,1,1,1,0,0,0,0
気持ち悪い女,3,0,1,1,0,0,0,0
下手すぎ,2,1,1,1,0,0,0,0
まじざけんな,2,1,1,1,0,0,0,0
ほんとこいつはカス,4,2,1,1,0,0,0,0
この精神リソース使いまくった直後にくるとはいやらしい,12,1,1,1,0,0,0,1
マジ無能,2,1,1,1,0,0,0,0
中将なのになにいってんだごみ,7,1,1,1,1,1,0,0
だから何でこうなったんだよ編集クソすぎんよ,12,1,1,1,0,0,0,0
でぶおが最近うるさい,5,1,1,1,0,0,0,0
まあ不細工二人やからつまらんのよ!,11,1,1,1,0,0,0,0
燃えてないからタイトルヤルヲのカスで,8,1,1,1,1,1,0,0
語彙力無振りか,5,0,1,1,0,0,0,0
釣りかよ死ね,4,2,1,1,0,0,0,0
くそみせｗ,3,1,1,1,0,0,0,0
きたない,1,1,1,1,0,1,0,0
おもろくない,2,0,0,1,1,1,0,0
は？店が指示出してんの？アホちゃう？,12,1,1,1,0,0,0,0
糞釣りゴミ動画,4,3,1,1,0,0,0,0
気持ち悪…,3,0,1,1,0,0,0,0
自分を強者だと思ってる勘違い野郎,9,1,1,1,0,1,0,0
殺されてぇかお前ら…,7,0,1,1,0,0,0,0
変態ロリコン姉貴は帰って、どうぞ（無慈悲）,12,2,1,1,0,1,0,0
ファン黙れ,2,1,1,1,0,0,1,1
蒲生がいちばんｋｓだけどな,7,0,0,1,1,1,0,0
ガンイージザコすぎ,2,0,1,1,0,0,0,0
　むしろクソマズなんだよなぁ・・・・,11,0,1,1,0,0,0,0
うぜぇw,4,0,1,1,0,0,0,0
女の子の日かな？,6,0,1,1,0,1,0,0
ごみかとオモタ,4,1,1,1,0,0,0,0
レインコート兄貴の動画は詰まらん（莫の村を作った作者に謝れ！）,19,0,1,1,0,0,0,0
消えろカス,2,1,1,1,0,0,0,0
ヤリマンアバズレクソビッチ,1,0,1,1,0,0,0,0
影で文句言ってないでさっさと辞めればいいだろオルァン！！,15,0,1,1,2,1,1,1
何だ乞食動画かよ,5,1,1,1,0,0,0,0
雑魚過ぎw,3,1,1,1,0,0,0,0
文脈を読み取る力が弱いなコジマ,8,1,1,1,0,0,0,0
総無能,2,1,1,1,0,0,0,0
じゃあ聞くけど自分がライブとか行ったとき掛け声せぇへんの？うるさいとか言うねんやったら他の動画みとけば？そんなんも考えられないの？文句がガキ並みやで？,42,2,1,1,2,1,0,0
ごみすぎる,2,1,1,1,1,1,0,0
ないおがつまらないのが原因,7,1,1,1,1,1,0,0
ゴミみたいな店だな絶対行かないわこんな店,12,1,1,1,1,1,0,0
↑ファンうるさい！！！！　とか最低！！！,9,2,1,1,0,0,1,1
がいじだらけ,4,0,1,1,0,0,0,0
のけデブでわろた,5,1,1,1,0,0,0,0
脳みそなかったらコメ打てないだろ。ネタでもつまらんよ。,15,0,1,1,2,1,0,0
並びはクソ,3,1,1,1,0,0,0,0
なにこのクソ店,4,1,1,1,0,0,0,0
狂ってるｗ,3,0,1,1,0,1,0,0
さすが柏、ゴミだなw,7,1,1,1,0,1,1,1
釣り兄貴に同情はしないけど自分をウルヴァリンする場合執着がない方が池沼だと思うんですけど（名推理）,29,2,1,1,4,1,0,0
やらせ,2,0,1,1,0,0,0,0
なんじゃこりゃ　ひでー店だな,9,1,1,1,1,1,0,0
うんこ,1,1,1,1,0,0,0,0
これはロリコン,3,1,1,1,0,0,0,0
編集へったくそ,3,0,1,1,0,0,0,0
ざっこ,1,1,1,1,0,0,0,0
釣り動画,2,1,1,1,0,0,0,0
カメラ下手,2,1,1,1,0,0,0,0
編集クソになったな,6,1,1,1,0,0,0,0
ひでぇ店だな,5,1,1,1,0,1,0,0
死んだら？,3,0,1,1,0,0,0,0
エピオンのE覚マジでウザい,8,1,1,1,0,0,0,0
サイコじゃねーか！,5,1,1,1,1,1,0,0
オワコンホクロ,1,0,1,1,0,0,0,0
通信つまんな,3,0,1,1,0,0,0,0
ブス,1,1,1,1,0,0,0,0
ゴミ台よ,3,1,1,1,0,0,0,0
最悪だな ここ行く客も頭おかしい,10,0,1,1,0,1,0,0
うぜえええええええええええ,12,0,1,1,0,0,0,0
民度ゴミすぎる・・・,6,1,1,1,1,1,0,0
クソフトバンクを叩き潰せ,4,1,1,1,0,0,0,0
馬鹿だらけだわな,5,1,1,1,0,0,0,0
マイクは超能力者じゃねえよポンコツ,9,1,1,1,1,1,0,0
ボルト戦闘シーンよくないよな、作画かわって,11,0,1,1,1,1,1,1
ハゲ隠し,2,1,1,1,0,0,0,0
動画消せ,2,1,1,1,0,0,0,0
無法ゴミ,2,1,1,1,0,0,0,0
ヤク中,2,0,1,1,0,0,0,0
ただのきもでぶだったか,7,0,1,1,0,0,0,0
ダイジェストはっかで動画みる意味ないわ,8,0,1,1,1,1,0,0
バカが多いかも,4,1,1,1,0,0,0,0
編集も打ち手もゴミだな（呆れ）,11,1,1,1,0,1,0,0
なにこの糞ゲー,4,1,1,1,0,0,0,0
ちょっと蛇足気味だな・・・,8,0,0,1,0,1,0,0
蛇足は同意,3,0,0,1,0,0,0,0
蛇足っていってるヤツはJazzのライブを聞いたことがない奴,17,0,0,1,1,1,0,0
蛇足っつう～かﾗｲﾌﾞｱﾚﾝｼﾞのお約束みたいなもんだろ,13,0,0,1,1,1,0,0
 クラップうざいな,3,0,1,1,0,0,0,0
クラップ誌ね,3,0,0,1,0,0,0,0
またろう単調でヘタ,5,0,0,1,0,0,0,0
あかいひとおどってばっか,5,0,0,1,1,1,0,0
馬鹿ってアホか。一言多いんじゃねえ？,11,2,1,1,2,1,0,0
なんかもたってる感じがするのは俺だけ？？,13,0,0,1,1,1,0,0
カメラぶれすぎ,3,0,0,1,0,0,0,0
手ブレ修正しろ,4,0,0,1,0,0,0,0
テンポ遅いな…,4,0,0,1,0,0,0,0
何度聴いても手拍子がイタイ,8,0,0,1,0,0,0,0
アニオタＫＹ過ぎる,4,0,0,1,0,0,0,0
手拍子ないな,3,0,0,1,1,1,0,0
コレがジャズじゃないという奴は逆にJAZZを理解してない,16,0,0,1,4,1,0,0
手拍子死ね,2,1,1,1,0,0,0,0
手拍子でリズム狂う奴は修行が足りない,10,0,1,1,1,1,0,0
動画を黙って見ることのできない奴が一番痛い,13,0,0,1,1,1,0,0
これjazzじゃねーだろーが,7,0,0,1,2,1,0,0
もたってるのは手拍子のせい？,9,0,0,1,0,1,0,0
手拍子に過剰反応してるのも似たようなもんだろ・・,16,0,0,1,1,1,0,0
カスとかうぜえ素人も見れる動画サイトなんだよ察しろ,15,1,1,1,0,0,0,0
手拍子に釣られる時点でミュージシャンかホントに疑わしいけどな,13,0,0,1,1,1,0,0
困るってよりダサイな手拍子,6,0,1,1,1,1,0,0
どうせならレベル上げろよ,5,0,0,1,1,1,0,0
あと一歩なのに・・・,8,0,0,1,1,1,0,0
いらないだろ,3,0,0,1,2,1,0,0
勇者ってこの程度なんだな,8,0,0,1,1,1,0,0
普通これだけ死んだら飽きるよな,8,0,1,1,1,1,1,1
ほしふるうでわっていらないんじゃない？,11,0,0,1,3,1,0,0
↓お前毎回なんなの？消えろよ,10,0,0,1,0,0,0,0
↓同意…意味もわからんし,8,0,0,1,0,0,0,0
↑氏ね,3,0,0,1,0,0,0,0
ゆとりだろうがゆとりじゃなかろうがイタイ奴はイタイ,13,0,0,1,2,1,0,0
なんで宝箱とらないの？,7,0,0,1,1,1,0,0
ここタネ類多いからもっと取れよ,8,0,0,1,0,0,0,0
そうびしろよ,2,0,0,1,0,0,0,0
取れよ,2,0,0,1,0,0,0,0
センスねぇな･･･,4,0,0,1,0,0,0,0
これは凄ぇぇ！　低画質なのがおしいな,13,0,0,1,0,0,0,0
素材がちと惜しいかも知れん,7,0,0,1,0,0,0,0
下の歌詞がサブいんだよなぁ・・・,12,0,0,1,0,0,0,0
演説シカト・・・・,6,0,0,1,0,0,0,0
元を知らないってどんだけゆとりだよ,10,0,0,1,3,1,0,0
劇場版の方が良いな,7,0,0,1,0,1,1,1
知らないのはゆとりでも十分恥ずかしいと思うが・・・,14,0,0,1,1,1,0,0
お前らの脳内では否オタ＝ゆとりなのか,14,0,0,1,0,0,0,0
TV版は微妙,4,0,0,1,0,0,0,0
バカチョン死ねよ,3,1,1,1,0,0,0,0
糞チョン死ね,3,2,1,1,0,0,0,0
バカチョンを皆殺しにせよ！！！！,9,0,1,1,0,0,0,0
朝鮮民族を皆殺しにせよ！！！！！！！！,8,0,1,1,0,0,0,0
画質・・・,4,0,0,1,0,0,0,0
音悪い,2,0,0,1,0,0,0,0
ちょっと早口だね,4,0,0,1,0,0,0,0
反日とか反韓やら、反中とか言ってるバカな連中は、どこの国にもいるもんだな,25,1,1,1,0,1,0,0
はいはい扇動乙,4,0,0,1,0,0,0,0
SEEDごみだ,3,1,1,1,0,0,0,0
これはダメかもわからんね,8,0,0,1,0,0,0,0
これは流行らない,4,0,0,1,1,1,0,0
これは重症ですね,5,0,0,1,0,0,0,0
繋ぎがいまひとつだな,5,0,0,1,0,1,0,0
これは駄目にしても、釘宮でループつくりたいな,14,0,0,1,0,0,0,0
やよいのワンツーには勝てないな･･･,9,0,0,1,1,1,0,0
まず始末書を書け,5,0,0,1,0,0,0,0
つなぎあまくね？,4,0,0,1,0,0,0,0
修行にはもってこいだな,6,0,0,1,0,1,0,0
これはもうだめかもわからんね,9,0,0,1,0,0,0,0
ここじゃないループだったらよかったような,10,0,0,1,2,1,0,0
たまに繋ぎが変だな,6,0,0,1,0,1,0,0
これはひどい,3,0,0,1,0,0,0,0
へたすぎ。,3,0,0,1,0,0,0,0
かおだすなきもい,5,0,1,1,0,0,0,0
保志以外キモス,3,0,1,1,0,0,0,0
本家のがいいな,5,0,0,1,0,0,1,1
MADなら切り貼りだけじゃなくて組んでくれ,10,0,0,1,2,1,0,0
重すぐる・・・・・・・・・。,5,0,0,1,0,0,0,0
歌詞は合ってるんだけど映像がマッチしていないね・・・,18,0,0,1,2,1,0,0
Fragment　～Shooting star of the origin～のほうが合うと思うんだが,21,0,0,1,0,0,0,0
悪くはないな・・・,7,0,0,1,1,1,0,0
重いな・・・,5,0,0,1,0,0,0,0
速度かえればなんでもあうんじゃないかとおもうんだが,15,0,0,1,2,1,0,0
魔理沙のほうの音いれわすれてねぇ？,11,0,0,1,0,0,0,0
げーじが,4,0,0,1,0,0,0,0
橘さん！なぜそれを使うんです！,10,0,0,1,0,0,0,0
火力ひくっ,3,0,0,1,0,0,0,0
画像汚い,2,0,0,1,0,0,0,0
ある意味これでも良くねえ？,7,0,0,1,0,1,0,0
あんま編集うまくないね,5,0,0,1,1,1,1,1
やっぱこういうの見ると今のＲＰＧって…,10,0,0,1,1,1,0,0
やっぱクロノトリガーを超えるRPGはないな…,9,0,0,1,1,1,0,0
未来変わったのに何故あの服なんだ・・・,13,0,0,1,1,1,0,0
作者の人気に嫉妬,5,0,0,1,0,0,0,0
でもさ、当時は絶賛されてたわけじゃないよな、クロノトリガーって,18,0,0,1,3,1,0,0
最近のＲＰＧは・・・見習って欲しいな・・・,14,0,0,1,0,1,0,0
なにやら作者もゲームも神格化しすぎの馬鹿がいますね＾＾；,18,1,1,1,0,1,0,1
作者は別に凄くないから,6,0,0,1,1,1,0,0
これこそが本来のゲームとか思い込んで今の作品を否定する奴死んでね,19,0,0,1,0,0,0,0
大多数のカスが崇拝しすぎて萎えるわ,11,1,1,1,0,1,0,0
流れに合わせてるだけの奴は死ね,9,1,1,1,1,1,0,0
懐古厨キモイですぅ,5,0,1,1,0,0,0,0
さっき言われていた複数ある流れの中の一つ、、、なんだが寄りによってあんな鬱ストーリー持ってこなくても('A`),33,0,0,1,0,1,0,0
ここまできて、なにしとる,7,0,0,1,0,0,0,0
まぁどうせ勝つんだからつまらんな,9,0,1,1,0,0,1,1
なんで逃げないの?,5,0,0,1,1,1,0,0
はぁ・・・・つまらん,7,0,1,1,0,0,0,0
↓いいから氏ね,5,0,0,1,0,0,1,1
↓うざい,3,0,1,1,0,0,0,0
正直やくそうじゃ使ってもあんまり効果なさそうだしな,15,0,1,1,1,1,0,0
乱数調整厨は無視で,6,0,0,1,0,0,0,0
チートとかアホが湧いてると思ったらＩＤ開放したのか,15,1,1,1,0,0,0,0
↓お前がしねゆとり,5,0,0,1,0,0,0,0
↓いいからお前は死ね！,7,1,1,1,0,0,1,1
チートとかいってる奴かわいそう,8,0,0,1,0,1,0,0
なんでこれまでの見てない子がこんな多いんだ,13,0,0,1,1,1,0,0
これカットしたら動画の価値がなくなるだろう,11,0,0,1,1,1,0,0
↑いいからお前は死ね！,7,1,1,1,0,0,1,1
これはヤラセ臭ぇーな。状態保存してリプレイ繰り返したんだろ,17,0,0,1,1,1,0,0
所詮リプレイ,2,0,0,1,0,0,0,0
画質悪いな,3,0,0,1,0,0,0,0
何かあるとすぐチートだヤラセだほざき出す無能ゆとりﾜﾛｽｗｗｗｗ,15,1,1,1,0,0,0,0
画質が落ちてるな,5,0,0,1,0,0,0,0
武道家の改心連発を知らないやつはゆとり,11,0,0,1,1,1,0,0
中国かわいそす,5,0,0,1,0,0,0,0
君は社交辞令という言葉を知っているかね？,13,0,0,1,1,1,0,0
こいつ新人なのに金持ってんな・・・,11,1,1,1,2,1,0,0
まあ高々数千円だしなぁ…忙しくて金使う間もないんだろう…,20,0,0,1,2,1,0,0
正装とまではいかなくても…この格好でこれる店には…,18,0,0,1,0,0,0,0
ここでコケろ,3,0,0,1,0,0,0,0
プロデューサーのイントネーションおかしいよね？,7,0,0,1,0,0,0,0
なんか切り方激しくなかった？,7,0,0,1,0,0,0,0
ダメに決まってるだろ,5,0,0,1,1,1,0,0
仕事中に電話かけてくんなっつの,10,0,0,1,0,0,0,0
この発言はＰに失礼すぎるのでは,10,0,0,1,1,1,0,0
タグが厳しすぎる,4,0,0,1,1,1,0,0
もっと上につれていけってことですね,10,0,0,1,1,1,0,0
お前の給料ならそんなもんかと思って・・・,13,0,0,1,0,1,0,0
ﾊﾙﾙﾝﾓ､ｶﾜｲｲﾃﾞｽﾖ,3,0,0,1,0,0,0,0
結局皆愚民,3,0,0,1,0,0,0,0
センスは無いよな,5,0,0,1,1,1,0,0
普通のレストランだろうな、周りの音が五月蝿いし,13,0,0,1,1,1,1,1
何が黒だ　死ね,6,1,1,1,0,0,0,0
下コメするバカ死なないかなあ,8,1,1,1,1,1,0,0
幼児,1,0,0,1,0,0,0,0
この画質、何がおもしろいのかわからん,10,0,0,1,0,0,0,1
何これ？つまらんすぎて意味ふ,9,0,1,1,0,0,0,0
Y.S-Yさん空耳動画はどうしたんですか？(笑)叩かれて逃げちゃいましたか(笑),29,0,0,1,0,1,0,0
やべぇ,3,0,0,1,0,0,0,0
ＹＳのカスはくたばれよ,6,1,1,1,0,0,0,0
犯罪者乙,3,0,0,1,0,0,0,0
身内しか楽しめない動画だな,7,0,0,1,2,1,0,0
なにがおもしろいの？,5,0,0,1,0,0,0,1
まあ犯罪者だもんな,6,0,0,1,0,0,0,0
くだらん,2,0,0,1,0,0,0,0
つまんね,3,0,1,1,0,0,0,0
意味不,2,0,0,1,0,0,0,0
"馬鹿らしい…(-д-"")",5,0,1,1,0,0,0,0
誰が得するのこの動画,6,0,0,1,0,0,0,0
コメない,2,0,0,1,1,1,0,0
Y.S-Yって死んだ人？,10,0,0,1,1,1,0,0
こんな身内動画アップしてどうするの？,10,0,0,1,0,0,0,0
薫:くだらない(-_-),4,0,0,1,0,1,0,0
Y.S帰れ！！,6,0,0,1,0,0,0,0
なにこれ,2,0,0,1,0,0,0,0
意味不明,2,0,0,1,0,0,0,0
バカバカバカ！,2,0,1,1,0,0,0,0
ありえねｪ,4,0,0,1,0,0,0,0
つまんねー,3,0,1,1,0,0,0,0
はっっっ‥？,5,0,0,1,0,0,0,0
会話がよく聞こえん,5,0,0,1,0,0,1,1
こいつらバカだろう,5,2,1,1,1,1,0,0
なにこれ,2,0,0,1,0,0,0,0
きもε=┏(;￣▽￣)┛,4,0,1,1,0,0,0,0
何これ！,3,0,0,1,0,0,0,0
アホらしい,2,1,1,1,0,0,0,0
あほ,2,0,1,1,0,0,0,0
バカ！,2,1,1,1,0,0,0,0
オモシロくない,3,0,0,1,1,1,0,0
バカ,1,1,1,1,0,0,0,0
つまんない,1,0,1,1,0,1,0,0
わいえすキモいよ死ねよ,7,2,1,1,0,0,0,0
なにこれ？,3,0,0,1,0,0,0,0
くだんねー,2,0,0,1,0,0,0,0
音ゲーしかできないくず,6,0,0,1,2,1,0,0
おもんない,1,0,0,1,0,1,0,0
幼稚ですか？？？,6,0,0,1,1,1,0,0
そうゆうノリ方しかできないんですねわかります,12,0,0,1,2,1,0,0
ノリがわからん,4,0,0,1,0,0,0,0
きたない,1,1,1,1,0,1,0,0
誰得動画だ？,5,0,0,1,0,0,0,0
焼き肉はへたくそだな,5,0,1,1,0,1,0,0
低レベル,2,0,1,1,1,1,0,0
なんだ身内動画か,5,0,0,1,0,0,0,0
声がキモい人がキモいアップすんなカスカスカスカスカスカスカスカスカスカスカスカス,12,2,1,1,0,0,0,0
眼鏡男キモいからｶｽｶｽｶｽｶｽｶｽｶｽｶｽｶｽ,6,1,1,1,0,0,0,0
全然面白くねーし,4,0,0,1,0,0,0,0
元曲知らないのが痛いな,8,0,0,1,1,1,0,0
いっぺん死んでみる？＾＾,7,0,0,1,0,1,0,0
んー。。。なんかなぁ・・・,11,0,0,1,0,0,0,0
ばーさん達うざい,6,0,1,1,0,0,0,0
タグがひどい,3,0,0,1,0,0,0,0
タグがわからない,4,0,0,1,1,1,0,0
